time,input_base_ax,input_base_ax_g,input_base_vx,base_vx,base_ax,base_ax_g,base_xdisp,top_vx,top_ax,top_ax_g,top_xdisp,stress_point_vx,stress_point_ax,stress_point_ax_g,stress_point_xdisp,stress_point_strain,stress_point_shear_stress
0.97,-0.980066312988,-0.0999389509147,-0.0890368060592,-0.0892191113572,-1.09577932664,-0.111738394522,0.00126416830636,0,0,0,0,0,0,0,0,0,0
0.98,-0.693850563182,-0.0707530668661,-0.0974365315802,-0.0975592886416,-0.834017728445,-0.0850461399606,0.000330276306368,0,0,0,0,0,0,0,0,0,0
0.99,-0.363794960348,-0.0370967619267,-0.102749245644,-0.102804165635,-0.524487699321,-0.0534828610505,-0.000671540965014,0,0,0,0,0,0,0,0,0,0
1,-2.87500578899e-12,-2.93169001544e-13,-0.104585757767,-0.10456667172,-0.176250608495,-0.0179725603029,-0.00170839515179,0,0,0,0,0,0,0,0,0,0
1.01,0.385520002953,0.0393120997438,-0.102667655393,-0.102570879526,0.199579219404,0.0203514165799,-0.00274408290801,0,0,0,0,0,0,0,0,0,0
1.02,0.779207945242,0.0794570975044,-0.0968446421606,-0.0966692647096,0.59016148161,0.0601797231073,-0.00374028362919,0,0,0,0,0,0,0,0,0,0
1.03,1.16641739504,0.118941472883,-0.0871077459872,-0.0868558197416,0.981344496805,0.100069289391,-0.00465790905145,0,0,0,0,0,0,0,0,0,0
1.04,1.53193422217,0.156213816356,-0.0735976416394,-0.0732742693851,1.35815503564,0.138493270958,-0.00545855949708,0,0,0,0,0,0,0,0,0,0
1.05,1.86054862079,0.189723159366,-0.056607492928,-0.0562207967302,1.70534726549,0.173897025538,-0.00610603482766,0,0,0,0,0,0,0,0,0,0
1.06,2.13765680281,0.21798032996,-0.036579912585,-0.036140882098,2.00799146322,0.204758145057,-0.0065678432218,0,0,0,0,0,0,0,0,0,0
1.07,2.34986941952,0.239619994547,-0.0140978566931,-0.0136200763558,2.25208057422,0.229648307447,-0.00681664801407,0,0,0,0,0,0,0,0,0,0
1.08,2.48560239832,0.253460906458,0.0101304926219,0.0106312327495,2.42513091052,0.247294530806,-0.0068315922321,0,0,0,0,0,0,0,0,0,0
1.09,2.53562545236,0.258561838381,0.0352925566347,0.0357987567061,2.51675239566,0.256637322191,-0.00659944228482,0,0,0,0,0,0,0,0,0,0
1.1,2.49354409486,0.25427073413,0.0604973568099,0.0609903952452,2.51916385391,0.256883222498,-0.00611549652506,0,0,0,0,0,0,0,0,0,0
1.11,2.3561925827,0.240264777748,0.0848058997951,0.0852666946995,2.42762994543,0.247549361447,-0.00538421107534,0,0,0,0,0,0,0,0,0,0
1.12,2.12391780535,0.216579342114,0.10726495807,0.107674679335,2.24079846353,0.228497852328,-0.00441950420517,0,0,0,0,0,0,0,0,0,0
1.13,1.80073765727,0.183624138444,0.126943070922,0.127283877239,1.96091979042,0.199958170264,-0.0032447114223,0,0,0,0,0,0,0,0,0,0
1.14,1.39436177965,0.142185331347,0.14296744706,0.143223219905,1.59393426662,0.16253606141,-0.00189217593658,0,0,0,0,0,0,0,0,0,0
1.15,0.916067583753,0.0934128967336,0.154560353808,0.154717399297,1.14941793918,0.117208010807,-0.000402472840569,0,0,0,0,0,0,0,0,0,0
1.16,0.380429995335,0.0387930634146,0.161073534308,0.161121223814,0.640382451677,0.0653008368481,0.00117672027498,0,0,0,0,0,0,0,0,0,0
1.17,-0.195090820219,-0.0198937272381,0.162019207574,0.161950529127,0.082930531286,0.00845656073032,0.00279207903969,0,0,0,0,0,0,0,0,0,0
1.18,-0.790693605236,-0.0806283088757,0.157096278261,0.15690827309,-0.504225603663,-0.0514167023054,0.00438637305077,0,0,0,0,0,0,0,0,0,0
1.19,-1.38489616689,-0.141220107467,0.146210513288,0.145904575291,-1.10036977995,-0.112206490488,0.00590043729267,0,0,0,0,0,0,0,0,0,0
1.2,-1.95529037665,-0.199384129815,0.129487627892,0.129069648308,-1.68349269827,-0.171668479886,0.00727530841066,0,0,0,0,0,0,0,0,0,0
1.21,-2.47936618245,-0.252824989415,0.107278459189,0.10675880411,-2.23108441979,-0.227507295539,0.00845445067275,0,0,0,0,0,0,0,0,0,0
1.22,-2.93537499853,-0.299324947717,0.0801556832043,0.0795489976384,-2.72098064714,-0.277462808109,0.00938598968149,0,0,0,0,0,0,0,0,0,0
1.23,-3.30320007579,-0.3368326672,0.0489018422149,0.0482266809981,-3.13223166404,-0.319398741062,0.0100248680747,0,0,0,0,0,0,0,0,0,0
1.24,-3.56519988692,-0.36354921272,0.0144887818453,0.0137670745125,-3.44596064856,-0.351390194262,0.0103348368522,0,0,0,0,0,0,0,0,0,0
1.25,-3.70699029346,-0.378007810359,-0.0219510608108,-0.0226946972726,-3.64617717851,-0.371806598431,0.0102901987384,0,0,0,0,0,0,0,0,0,0
1.26,-3.71813235439,-0.379143984377,-0.0591607390517,-0.0598998191228,-3.72051218502,-0.379386659565,0.00987722615645,0,0,0,0,0,0,0,0,0,0
1.27,-3.59269509209,-0.366352943369,-0.0958011494499,-0.0965082432607,-3.66084241379,-0.37330203625,0.00909518584453,0,0,0,0,0,0,0,0,0,0
1.28,-3.32966630305,-0.339531471303,-0.130498268015,-0.131145999236,-3.46377559749,-0.353206813487,0.00795691463205,0,0,0,0,0,0,0,0,0,0
1.29,-2.93318948082,-0.299102086933,-0.161893636962,-0.162455718742,-3.13097195067,-0.319270286048,0.00648890604216,0,0,0,0,0,0,0,0,0,0
1.3,-2.41261095134,-0.246017850269,-0.188696279639,-0.189148550107,-2.66928313644,-0.272191129126,0.00473088469792,0,0,0,0,0,0,0,0,0,0
1.31,-1.78232820048,-0.181746896287,-0.209734096131,-0.210055513505,-2.0906963398,-0.213191695411,0.00273486437986,0,0,0,0,0,0,0,0,0,0
1.32,-1.0614378541,-0.10823653889,-0.22400273894,-0.224176296409,-1.41207829044,-0.143991912675,0.000563705330293,0,0,0,0,0,0,0,0,0,0
1.33,-0.273189575137,-0.0278575838983,-0.230709991679,-0.230723513837,-0.654721742777,-0.0667630376099,-0.00171079372094,0,0,0,0,0,0,0,0,0,0
1.34,0.555740031132,0.0566697119946,-0.229313775557,-0.229160561385,0.156295245188,0.015937679553,-0.00401021409705,0,0,0,0,0,0,0,0,0,0
1.35,1.39613187282,0.142365830617,-0.219552087343,-0.219231369412,0.992919197299,0.101249580366,-0.00625217375103,0,0,0,0,0,0,0,0,0,0
1.36,2.21723861455,0.226095416329,-0.201463423955,-0.200980619559,1.82507498526,0.186105855237,-0.00835323369589,0,0,0,0,0,0,0,0,0,0
1.37,2.98789408246,0.304680403855,-0.1753965655,-0.174763302603,2.62173169566,0.267342231614,-0.0102319533067,0,0,0,0,0,0,0,0,0,0
1.38,3.67767831355,0.375018820245,-0.142008960063,-0.141242869051,3.35204335514,0.341813295584,-0.011811984165,0,0,0,0,0,0,0,0,0,0
1.39,4.25809522967,0.43420487421,-0.102253367203,-0.101377638156,3.98652308951,0.406512222778,-0.013025086701,0,0,0,0,0,0,0,0,0,0
1.4,4.70371798691,0.479645749252,-0.0573528579625,-0.0563955721637,4.49820659926,0.458689419859,-0.0138139527526,0,0,0,0,0,0,0,0,0,0
