time,base_acceleration_mps2,base_acceleration_g,integrated_base_velocity,integrated_base_displacement
2.790000000000000036e+00,1.232571710034641299e+01,1.256873356380253659e+00,6.259488798518529906e-01,-3.344725601549446148e-02
2.794999999999999929e+00,1.120034727886087111e+01,1.142117571123765218e+00,6.847640407998699663e-01,-3.017047371386522361e-02
2.800000000000000266e+00,9.971491326852957471e+00,1.016809137356075476e+00,7.376936373141581571e-01,-2.661432951857991419e-02
2.805000000000000160e+00,8.649784069142212317e+00,8.820325054062511105e-01,7.842468258041450646e-01,-2.280947836078423691e-02
2.810000000000000053e+00,7.246726661658342117e+00,7.389604667912429425e-01,8.239881026311456358e-01,-1.878889103969609564e-02
2.814999999999999947e+00,5.774586081406487992e+00,5.888439050446878653e-01,8.565413844888070116e-01,-1.458756732189630395e-02
2.819999999999999840e+00,4.246287401111717763e+00,4.330008107877529877e-01,8.815935681951020397e-01,-1.024222994018662326e-02
2.825000000000000178e+00,2.675299798910171667e+00,2.728046579525293391e-01,8.988975361951578869e-01,-5.791002179210672299e-03
2.830000000000000071e+00,1.075517313060452285e+00,1.096722441466201348e-01,9.082745789750842347e-01,-1.273071891285162613e-03
2.834999999999999964e+00,-5.388645977382232610e-01,-5.494889669134957189e-02,9.096162107633898319e-01,3.271655083060925374e-03
2.839999999999999858e+00,-2.153475586692680466e+00,-2.195933970002682534e-01,9.028853603023127006e-01,7.802909010725085116e-03
2.845000000000000195e+00,-3.753898910944343914e+00,-3.827911581370135874e-01,8.881169240582191815e-01,1.228041472162671663e-02
2.850000000000000089e+00,-5.325800729225909969e+00,-5.430805350681333632e-01,8.654176749577939809e-01,1.666425121916665503e-02
2.854999999999999982e+00,-6.855059040439655860e+00,-6.990214844457236509e-01,8.349655255336306814e-01,2.091520922039512634e-02
2.859999999999999876e+00,-8.327891098326951180e+00,-8.492085572878558253e-01,7.970081501867150031e-01,2.499514340969590312e-02
2.865000000000000213e+00,-9.730978147853683424e+00,-9.922836185500333306e-01,7.518609770712603169e-01,2.886731622784110413e-02
2.870000000000000107e+00,-1.105158634987891375e+01,-1.126948178009709256e+00,6.999045658269299475e-01,3.249673008508650179e-02
2.875000000000000000e+00,-1.227768279196992296e+01,-1.251975220077184758e+00,6.415813929723090947e-01,3.585044498208452696e-02
2.879999999999999893e+00,-1.339804552459194298e+01,-1.366220424364277708e+00,5.773920721809058243e-01,3.889787864496749986e-02
2.885000000000000231e+00,-1.440236661301012333e+01,-1.468632674053843568e+00,5.078910418368959290e-01,4.161108643001218410e-02
2.890000000000000124e+00,-1.528134725563683638e+01,-1.558263755271865225e+00,4.336817571652801240e-01,4.396501842751757150e-02
2.895000000000000018e+00,-1.602678408872815652e+01,-1.634277157717279438e+00,3.554114288043693226e-01,4.593775139244165445e-02
2.899999999999999911e+00,-1.663164587466258482e+01,-1.695955894690091448e+00,2.737653538958941812e-01,4.751069334919227893e-02
2.905000000000000249e+00,-1.709013985585078643e+01,-1.742709269307132214e+00,1.894608895696050510e-01,4.866875895785610640e-02
2.910000000000000142e+00,-1.739776714786760081e+01,-1.774078523029536170e+00,1.032411220603109137e-01,4.940051398693087736e-02
2.915000000000000036e+00,-1.755136664285660331e+01,-1.789741312564087083e+00,1.586828758350226909e-02,4.969828751104040515e-02
2.919999999999999929e+00,-1.754914699676034928e+01,-1.789514971652944819e+00,-7.188299651553822778e-02,4.955825073871032022e-02
2.925000000000000266e+00,-1.739070638055842721e+01,-1.773358525139413278e+00,-1.592326299588410765e-01,4.898046167252433081e-02
2.930000000000000160e+00,-1.707703978549135471e+01,-1.741373433893465661e+00,-2.454019953739636772e-01,4.796887510919234376e-02
2.935000000000000053e+00,-1.661053378422125348e+01,-1.693803060598803256e+00,-3.296209292982433814e-01,4.653131779751185776e-02
2.939999999999999947e+00,-1.599494876301957547e+01,-1.631030857940231948e+00,-4.111346356663436730e-01,4.467942888510043065e-02
2.944999999999999840e+00,-1.523538875335125553e+01,-1.553577292281386191e+00,-4.892104794572690873e-01,4.242856609729144662e-02
2.950000000000000178e+00,-1.433825910361694866e+01,-1.462095527383658000e+00,-5.631445990996946094e-01,3.979767840089885877e-02
2.955000000000000071e+00,-1.331121234229676986e+01,-1.357365903983192013e+00,-6.322682777144774668e-01,3.680914620886348992e-02
2.959999999999999964e+00,-1.216308269130102815e+01,-1.240289262011087246e+00,-6.959540152984705630e-01,3.348859047633118841e-02
2.964999999999999858e+00,-1.090380979199806788e+01,-1.111879162812792199e+00,-7.536212465067170241e-01,2.986465232181829618e-02
2.970000000000000195e+00,-9.544352305196847297e+00,-9.732530787982489606e-01,-8.047416517497077981e-01,2.596874507617697239e-02
2.975000000000000089e+00,-8.096592139416229017e+00,-8.256226274432379997e-01,-8.488440128612395608e-01,2.183478091464969434e-02
2.979999999999999982e+00,-6.573230148201787415e+00,-6.702829353756672992e-01,-8.855185685802837714e-01,1.749887446104597677e-02
2.984999999999999876e+00,-4.987674216275769901e+00,-5.086012263388384191e-01,-9.144208294914770718e-01,1.299902596586667049e-02
2.990000000000000213e+00,-3.353920725166503747e+00,-3.420047340494974386e-01,-9.352748168450841781e-01,8.374786850024955320e-03
2.995000000000000107e+00,-1.686430451025418886e+00,-1.719680472970299689e-01,-9.478756947855637716e-01,3.666910570948435887e-03
3.000000000000000000e+00,-3.954876214512379491e-14,-4.032851396259048621e-15,-9.520917709131273554e-01,-1.083008093298191109e-03
3.004999999999999893e+00,1.690370070691052051e+00,1.723697767016312554e-01,-9.478658457363998702e-01,-5.832902134921907900e-03
3.010000000000000231e+00,3.369609265366525275e+00,3.436045199294892050e-01,-9.352158973962551025e-01,-1.054060649275386299e-02
3.015000000000000124e+00,5.022712093698505242e+00,5.121740955064680856e-01,-9.142350939985929292e-01,-1.516423397124088551e-02
3.020000000000000018e+00,6.634872732244277316e+00,6.765687296114654137e-01,-8.850911319337365635e-01,-1.966254953607161210e-02
3.024999999999999911e+00,8.191618190134587252e+00,8.353125879005152132e-01,-8.480249046277902325e-01,-2.399533962747533652e-02
3.030000000000000249e+00,9.678938776284043755e+00,9.869770794597588770e-01,-8.033485122117406396e-01,-2.812377316957444251e-02
3.035000000000000142e+00,1.108341468730945856e+01,1.130193765180715015e+00,-7.514426285527580074e-01,-3.201075102148560891e-02
3.040000000000000036e+00,1.239233756790025254e+01,1.263666753468335680e+00,-6.927532479147350264e-01,-3.562124071265426739e-02
3.044999999999999929e+00,1.359382593838494380e+01,1.386184470577102701e+00,-6.277878391490234744e-01,-3.892259343031359564e-02
3.050000000000000266e+00,1.467693343733786548e+01,1.496630698285129624e+00,-5.571109407097116772e-01,-4.188484037996063197e-02
3.055000000000000160e+00,1.563174888978092980e+01,1.593994778010934477e+00,-4.813392348919163233e-01,-4.448096581896464341e-02
3.060000000000000053e+00,1.644948728332698096e+01,1.677380887798277875e+00,-4.011361444591482472e-01,-4.668715426734226098e-02
3.064999999999999947e+00,1.712257081483624788e+01,1.746016306775121762e+00,-3.172059992137419848e-01,-4.848300962652445090e-02
3.070000000000000284e+00,1.764469925811635065e+01,1.799258590662086599e+00,-2.302878240313546154e-01,-4.985174418463728108e-02
3.075000000000000178e+00,1.801090899809543444e+01,1.836601591582796900e+00,-1.411488033908270545e-01,-5.078033575319271242e-02
3.080000000000000071e+00,1.821762017789779264e+01,1.857680265727623015e+00,-5.057748045084591026e-02,-5.125965146279688744e-02
3.084999999999999964e+00,1.826267151144254086e+01,1.862274223250808491e+00,4.062324877250297894e-02,-5.128453704199274765e-02
3.089999999999999858e+00,1.814534242461943947e+01,1.850309986042067534e+00,1.316432836126559813e-01,-5.085387071102986239e-02
3.095000000000000195e+00,1.786636230177528262e+01,1.821861930605791269e+00,2.216725454286488928e-01,-4.997058113842654109e-02
3.100000000000000089e+00,1.742790673014800973e+01,1.777151905099907836e+00,3.099082180084552496e-01,-4.864162922983381043e-02
3.104999999999999982e+00,1.683358075196409942e+01,1.716547521525097819e+00,3.955619367137336861e-01,-4.687795384302837626e-02
3.109999999999999876e+00,1.608838925111471951e+01,1.640559136006150887e+00,4.778668617214290038e-01,-4.469438184694051602e-02
3.115000000000000213e+00,1.519869471757934853e+01,1.549835541961765761e+00,5.560845716431694896e-01,-4.210950326352884410e-02
3.120000000000000107e+00,1.417216274702355072e+01,1.445158412610172860e+00,6.295117153046752012e-01,-3.914551254615929871e-02
3.125000000000000000e+00,1.301769574421737907e+01,1.327435540599223973e+00,6.974863615327761002e-01,-3.582801735406573873e-02
3.129999999999999893e+00,1.174535540609551454e+01,1.197692933478355481e+00,7.593939894085570685e-01,-3.218581647671248103e-02
3.135000000000000231e+00,1.036627466242565987e+01,1.057065834145774597e+00,8.146730645798637704e-01,-2.825064884174116261e-02
3.140000000000000124e+00,8.892559848242882481e+00,9.067887452129812509e-01,8.628201508565340738e-01,-2.405691580315025974e-02
3.145000000000000018e+00,7.337183971555322870e+00,7.481845453396749335e-01,9.033945104060286946e-01,-1.964137914999394829e-02
3.149999999999999911e+00,5.713872021522693245e+00,5.826527939227660324e-01,9.360221503887230510e-01,-1.504283749800716663e-02
3.155000000000000249e+00,4.036979335588608997e+00,4.116573279956569631e-01,9.603992787815029963e-01,-1.030178392508128080e-02
3.160000000000000142e+00,2.321364108244948543e+00,2.367132617402424588e-01,9.762951373910865316e-01,-5.460047884649910609e-03
3.165000000000000036e+00,5.822551786236228599e-01,5.937350457328678666e-02,9.835541856082578027e-01,-5.604245771516540645e-04
3.169999999999999929e+00,-1.164883721560945551e+00,-1.187850817109762924e-01,9.820976142509145745e-01,4.353704922496172240e-03
3.175000000000000266e+00,-2.904492044473921730e+00,-2.961757628215467841e-01,9.719241748358267152e-01,9.238759395213354264e-03
3.180000000000000160e+00,-4.621051588981080371e+00,-4.712161226291425309e-01,9.531103157521896296e-01,1.405134562168329146e-02
3.185000000000000053e+00,-6.299225500135134048e+00,-6.423422371691794863e-01,9.258096230293996198e-01,1.874864546863716508e-02
3.189999999999999947e+00,-7.923995855245564712e+00,-8.080227045163806965e-01,8.902515696409486479e-01,2.328879845031293916e-02
3.195000000000000284e+00,-9.480798597358548463e+00,-9.667724041704913729e-01,8.467395835094354561e-01,2.763127633318919127e-02
3.200000000000000178e+00,-1.095565459907735040e+01,-1.117165861846537878e+00,7.956484505183467615e-01,3.173724641825856341e-02
3.205000000000000071e+00,-1.233529567278371175e+01,-1.257850098941403205e+00,7.374210748386953451e-01,3.556992023165108513e-02
3.209999999999999964e+00,-1.360728438717600852e+01,-1.387556850420480936e+00,6.725646246887974078e-01,3.909488448046974374e-02
3.214999999999999858e+00,-1.476012660425814182e+01,-1.505114040396888120e+00,6.016460972102135596e-01,4.228041128521720093e-02
3.220000000000000195e+00,-1.578337571499315750e+01,-1.609456411210062443e+00,5.252873414120801110e-01,4.509774488177312191e-02
3.225000000000000089e+00,-1.666772762523277152e+01,-1.699635209294996008e+00,4.441595830615170382e-01,4.752136219295706454e-02
3.229999999999999982e+00,-1.740510562558186791e+01,-1.774826839499917819e+00,3.589774999344822470e-01,4.952920490044702279e-02
3.234999999999999876e+00,-1.798873436882768218e+01,-1.834340408684686841e+00,2.704928999484602636e-01,5.110288090015434326e-02
3.240000000000000213e+00,-1.841320227565805467e+01,-1.877624089333060242e+00,1.794880583372397975e-01,5.222783329586867113e-02
3.245000000000000107e+00,-1.867451179273481898e+01,-1.904270244449921323e+00,8.676877316625959680e-02,5.289347537462740778e-02
3.250000000000000000e+00,-1.877011703585548474e+01,-1.914019266095505101e+00,-6.842798905214164673e-03,5.309329031028001827e-02
3.254999999999999893e+00,-1.869894846394953802e+01,-1.906762091432807171e+00,-1.005154626547247326e-01,5.282489465638017662e-02
3.260000000000000231e+00,-1.846142434600077920e+01,-1.882541372028244231e+00,-1.934163946796068068e-01,5.209006501304429965e-02
3.265000000000000124e+00,-1.805944890161374872e+01,-1.841551284242197939e+00,-2.847185777986411814e-01,5.089472758184870188e-02
3.270000000000000018e+00,-1.749639711578116064e+01,-1.784135980766231144e+00,-3.736081928421265408e-01,4.924891065524681505e-02
3.274999999999999911e+00,-1.677708634838115387e+01,-1.710786695597493079e+00,-4.592919015025305196e-01,4.716666041938522014e-02
3.280000000000000249e+00,-1.590773497794863722e+01,-1.622137526877031277e+00,-5.410039548183604996e-01,4.466592077858282106e-02
3.285000000000000142e+00,-1.489590843625352967e+01,-1.518959933948242247e+00,-6.180130633538643004e-01,4.176837823315231873e-02
3.290000000000000036e+00,-1.375045310411411847e+01,-1.402155996605784827e+00,-6.896289672047819508e-01,3.849927315675577555e-02
3.294999999999999929e+00,-1.248141864865221962e+01,-1.272750495699573214e+00,-7.552086465866963971e-01,3.488717912227715795e-02
3.300000000000000266e+00,-1.109996948685197182e+01,-1.131881884930325155e+00,-8.141621169254608104e-01,3.096375221349649889e-02
3.305000000000000160e+00,-9.618286158875090308e+00,-9.807922337266131718e-01,-8.659577560397773155e-01,2.676345253108349323e-02
3.310000000000000053e+00,-8.049457486206639700e+00,-8.208162304361469319e-01,-9.101271151524806813e-01,2.232324035310294386e-02
3.314999999999999947e+00,-6.407364473532937588e+00,-6.533693436120324716e-01,-9.462691700518288673e-01,1.768224964009226796e-02
3.320000000000000284e+00,-4.706556988508734385e+00,-4.799352468486929313e-01,-9.740539737069349169e-01,1.288144178069503334e-02
3.325000000000000178e+00,-2.962124319582570831e+00,-3.020526193534561754e-01,-9.932256769771627969e-01,7.963242653984892866e-03
3.330000000000000071e+00,-1.189560768193596685e+00,-1.213014401649489676e-01,-1.003604889696602998e+00,2.971166237300584476e-03
3.334999999999999964e+00,5.953725225591891546e-01,6.071110140151725343e-02,-1.005090360310688880e+00,-2.050571887717537664e-03
3.339999999999999858e+00,2.376788265700185310e+00,2.423649529350171139e-01,-9.976599583400406202e-01,-7.057447684344254554e-03
3.345000000000000195e+00,4.138814993669349462e+00,4.220416751560777113e-01,-9.813709501916156874e-01,-1.200502495567373068e-02
3.350000000000000089e+00,5.865739013662301993e+00,5.981389173328610642e-01,-9.563595651732871294e-01,-1.684935124408588544e-02
3.354999999999999982e+00,7.542145080508852573e+00,7.690847619226599541e-01,-9.228398549378599158e-01,-2.154734979436365161e-02
3.359999999999999876e+00,9.153054523010496268e+00,9.333518095384760738e-01,-8.811018559290624275e-01,-2.605720407153086157e-02
3.365000000000000213e+00,1.068405958149755541e+01,1.089470877567523699e+00,-8.315090706677888965e-01,-3.033873138802328090e-02
3.370000000000000107e+00,1.212145274741054024e+01,1.236044189138038041e+00,-7.744952898455198520e-01,-3.435374228930646728e-02
3.375000000000000000e+00,1.345234993968323778e+01,1.371757933614765390e+00,-7.105607831277868103e-01,-3.806638247173965706e-02
3.379999999999999893e+00,1.466480640720393502e+01,1.495394085360845615e+00,-6.402678922605703482e-01,-4.144345416021047446e-02
