time_s,acc_base_m_s2,acc_middle_m_s2,acc_surface_m_s2,strain_base,stress_base_pa,strain_middle,stress_middle_pa
1.934,0.0806807235484,-14.8481573114,-11.853743041,-0.000355937053462,-55454.3342286,-0.000558435977591,-125361.461596
1.936,0.0280833359194,-14.7530046243,-12.0299738686,-0.000340863558002,-54031.0311917,-0.000554857305659,-123947.057538
1.938,-0.0291090027428,-14.647115756,-12.2034820222,-0.000326571818678,-52784.050205,-0.000550874848277,-122452.012569
1.94,-0.0906382059151,-14.5306503407,-12.3741314331,-0.000313093397812,-51714.4760677,-0.000546494609255,-120879.567709
1.942,-0.155962738132,-14.4038009584,-12.5417797099,-0.000300456851337,-50822.7281875,-0.000541723831487,-119233.21617
1.944,-0.22477406048,-14.2667927074,-12.7062783668,-0.000288687617075,-50108.5598981,-0.00053657098087,-117516.691705
1.946,-0.296755611226,-14.1198826376,-12.8674730946,-0.000277807915921,-49571.0605844,-0.000531045724993,-115733.955904
1.948,-0.3715840496,-13.9633590466,-13.0252040729,-0.000267836666387,-49208.6606067,-0.000525158906667,-113889.1845
1.95,-0.448930520908,-13.7975406417,-13.1793063234,-0.000258789412874,-49059.2742825,-0.000518922512404,-111986.752722
1.952,-0.528461937517,-13.6227755705,-13.3296101022,-0.00025073516273,-49099.2821376,-0.000512349635963,-110031.219778
1.954,-0.609842270226,-13.4394403245,-13.475941331,-0.000243639740986,-49262.140841,-0.000505454437107,-108027.312519
1.956,-0.692733844463,-13.2479385197,-13.6181220649,-0.000237485866074,-49570.1958831,-0.000498252095744,-105979.908357
1.958,-0.776798635782,-13.0486995592,-13.7559709959,-0.00023227510566,-50034.5415749,-0.000490758761631,-103894.017519
1.96,-0.861699559111,-12.8421771836,-13.8893039892,-0.000228005536319,-50649.943993,-0.000482991499857,-101774.764701
1.962,-0.947101746256,-12.6288479156,-14.0179346514,-0.000224671758812,-51410.6240943,-0.000474968232333,-99627.3702077
1.964,-1.03267380623,-12.4092094038,-14.1416749281,-0.000222264927905,-52310.2830854,-0.000466707675519,-97457.1306559
1.966,-1.11808906305,-12.1837786749,-14.260335728,-0.000220772796585,-53342.1299545,-0.000458229274677,-95269.3993292
1.968,-1.20302676582,-11.9530902999,-14.3737275722,-0.000220179774507,-54498.9110431,-0.000449553134902,-93069.566264
1.97,-1.28717326585,-11.7176944825,-14.4816612646,-0.00022046700038,-55772.9415244,-0.000440699949241,-90863.0381566
1.972,-1.37022315613,-11.4781550788,-14.5839485819,-0.000221612428,-57156.1386508,-0.000431690924198,-88655.2181764
1.974,-1.45188036812,-11.2350475556,-14.6804029799,-0.000223590925526,-58640.0566204,-0.000422547702954,-86451.4857733
1.976,-1.53185922144,-10.9889568965,-14.7708403133,-0.00022637438758,-60215.9229085,-0.000413292286615,-84257.1765671
1.978,-1.60988542214,-10.7404754649,-14.855079565,-0.000229931859651,-61874.6759027,-0.000403946953837,-82077.5624062
1.98,-1.68569700539,-10.4902008327,-14.9329435836,-0.000234229674271,-63607.0036737,-0.000394534179178,-79917.8316822
1.982,-1.75904521871,-10.2387335852,-15.0042598244,-0.000239231598339,-65403.3837094,-0.000385076550513,-77783.0699844
1.984,-1.82969534232,-9.98667510936,-15.0688610913,-0.000244898990957,-67254.1234365,-0.000375596685881,-75678.241181
1.986,-1.89742744315,-9.73462537789,-15.1265862757,-0.000251190971064,-69149.4013492,-0.000366117150121,-73608.1690064
1.988,-1.96203705974,-9.4831807361,-15.1772810909,-0.000258064594125,-71079.308563,-0.000356660371654,-71577.5192358
1.99,-2.02333581514,-9.23293170288,-15.2207987962,-0.000265475037099,-73059.2027218,-0.000347248559765,-69590.7825239
1.992,-2.08115195576,-8.98446079437,-15.2570009089,-0.000273411672644,-75087.9607074,-0.000337903622761,-67652.2579824
1.994,-2.13533081395,-8.73834038005,-15.2857579019,-0.000281830586167,-77106.1365372,-0.000328647087334,-65766.0375663
1.996,-2.18573519282,-8.49513058056,-15.3069498808,-0.000290647214103,-79094.8850554,-0.0003195000195,-63935.9913379
1.998,-2.23224567196,-8.25537721606,-15.3204672408,-0.000299810824769,-81069.0384633,-0.000310482947437,-62165.7536701
2,-2.27476083319,-8.01960981438,-15.3262112973,-0.000309269817206,-83018.9591192,-0.000301615786571,-60458.7104497
2.002,-2.31319740571,-7.78833968713,-15.3240948893,-0.000318971939065,-84935.2100835,-0.000292917767222,-58817.9873352
2.004,-2.34749033054,-7.56205808247,-15.3140429521,-0.000328864506498,-86808.5937587,-0.000284407365125,-57246.4391181
2.006,-2.3775927444,-7.34123442212,-15.2959930554,-0.000338894625084,-88630.1893282,-0.000276102235131,-55746.6402342
2.008,-2.40347588347,-7.12631463046,-15.2698959068,-0.000349009410804,-90391.3888291,-0.000268019148359,-54320.876464
2.01,-2.42512890817,-6.9177195628,-15.2357158148,-0.000359156210112,-92083.9317018,-0.000260173933085,-52971.1378572
2.012,-2.44255864995,-6.71584353942,-15.1934311116,-0.000369282818107,-93699.9376662,-0.000252581419609,-51699.1129099
