time,base_acceleration,integrated_base_velocity
2.101000000000000156e+01,-6.487902999613979205e-01,-3.311397393951535095e-01
2.101999999999999957e+01,-6.195074645807032709e-01,-3.371401189016109967e-01
2.103000000000000114e+01,-5.899534056210118393e-01,-3.428463139363684409e-01
2.103999999999999915e+01,-5.601547936123587590e-01,-3.482557456162824749e-01
2.105000000000000071e+01,-5.301383125797869411e-01,-3.533661018309920410e-01
2.105999999999999872e+01,-4.999306370584051251e-01,-3.581753372629302712e-01
2.107000000000000028e+01,-4.695584092899469653e-01,-3.626816731784207049e-01
2.108000000000000185e+01,-4.390482166188167668e-01,-3.668835969917133566e-01
2.108999999999999986e+01,-4.084265691048400981e-01,-3.707798616040789419e-01
2.110000000000000142e+01,-3.777198773699428358e-01,-3.743694845202014676e-01
2.110999999999999943e+01,-3.469544306957050850e-01,-3.776517467442772613e-01
2.112000000000000099e+01,-3.161563753879903516e-01,-3.806261914584443407e-01
2.112999999999999901e+01,-2.853516934252056103e-01,-3.832926224862579501e-01
2.114000000000000057e+01,-2.545661814056181527e-01,-3.856511025441605733e-01
2.115000000000000213e+01,-2.238254298095903039e-01,-3.877019512839851023e-01
2.116000000000000014e+01,-1.931548025915752476e-01,-3.894457431297386751e-01
2.117000000000000171e+01,-1.625794171166727864e-01,-3.908833049120281622e-01
2.117999999999999972e+01,-1.321241244563378103e-01,-3.920157133036412667e-01
2.119000000000000128e+01,-1.018134900568377077e-01,-3.928442920599553023e-01
2.119999999999999929e+01,-7.167177479447239818e-02,-3.933706090679597311e-01
2.121000000000000085e+01,-4.172291643036096787e-02,-3.935964732078319761e-01
2.121999999999999886e+01,-1.199051147793284144e-02,-3.935239310311217098e-01
2.123000000000000043e+01,1.750220250485767792e-02,-3.931552632597350438e-01
2.124000000000000199e+01,4.673236418631887545e-02,-3.924929811100270616e-01
2.125000000000000000e+01,7.567750528360406292e-02,-3.915398224464257115e-01
2.126000000000000156e+01,1.043155669258197804e-01,-3.902987477691264306e-01
2.126999999999999957e+01,1.326249155470620167e-01,-3.887729360405104417e-01
2.128000000000000114e+01,1.605843582993369267e-01,-3.869657803550262676e-01
2.128999999999999915e+01,1.881731579754113426e-01,-3.848808834574010129e-01
2.130000000000000071e+01,2.153710474326118174e-01,-3.825220531141084734e-01
2.130999999999999872e+01,2.421582435084701501e-01,-3.798932973431516924e-01
2.132000000000000028e+01,2.685154604202182327e-01,-3.769988195072557779e-01
2.133000000000000185e+01,2.944239226399627540e-01,-3.738430132757024626e-01
2.133999999999999986e+01,3.198653772384023597e-01,-3.704304574600593147e-01
2.135000000000000142e+01,3.448221056901434878e-01,-3.667659107291642018e-01
2.135999999999999943e+01,3.692769351340583484e-01,-3.628543062087922211e-01
2.137000000000000099e+01,3.932132490830646532e-01,-3.587007459714539603e-01
2.137999999999999901e+01,4.166149975775645942e-01,-3.543104954218998515e-01
2.139000000000000057e+01,4.394667067779582936e-01,-3.496889775838696313e-01
2.140000000000000213e+01,4.617534879914497736e-01,-3.448417672937699185e-01
2.141000000000000014e+01,4.834610461295181238e-01,-3.397745853069139566e-01
2.142000000000000171e+01,5.045756875924567453e-01,-3.344932923220512722e-01
2.142999999999999972e+01,5.250843275779679686e-01,-3.290038829299483103e-01
2.144000000000000128e+01,5.449744968116458921e-01,-3.233124794917472400e-01
2.144999999999999929e+01,5.642343476970435034e-01,-3.174253259529531412e-01
2.146000000000000085e+01,5.828526598842476147e-01,-3.113487815987938667e-01
2.146999999999999886e+01,6.008188452557110537e-01,-3.050893147568433106e-01
2.148000000000000043e+01,6.181229523291289496e-01,-2.986534964526662561e-01
2.149000000000000199e+01,6.347556700772543081e-01,-2.920479940243813077e-01
2.150000000000000000e+01,6.507083311652852586e-01,-2.852795647019180647e-01
2.151000000000000156e+01,6.659729146068489314e-01,-2.783550491568043128e-01
2.151999999999999957e+01,6.805420478400456830e-01,-2.712813650283194544e-01
2.153000000000000114e+01,6.944090082257012853e-01,-2.640655004317377097e-01
2.153999999999999915e+01,7.075677239701203547e-01,-2.567145074545080785e-01
2.155000000000000071e+01,7.200127744755580039e-01,-2.492354956460266502e-01
2.155999999999999872e+01,7.317393901216355800e-01,-2.416356255067904080e-01
2.157000000000000028e+01,7.427434514817754518e-01,-2.339221019825202807e-01
2.158000000000000185e+01,7.530214879789358662e-01,-2.261021679689634301e-01
2.158999999999999986e+01,7.625706759855752637e-01,-2.181830978328905823e-01
2.160000000000000142e+01,7.713888363730756481e-01,-2.101721909548441847e-01
2.160999999999999943e+01,7.794744315163857351e-01,-2.020767652991465324e-01
2.162000000000000099e+01,7.868265617601117867e-01,-1.939041510165108173e-01
2.162999999999999901e+01,7.934449613525895728e-01,-1.856616840846970762e-01
2.164000000000000057e+01,7.993299938550926242e-01,-1.773566999924054421e-01
2.165000000000000213e+01,8.044826470335451063e-01,-1.689965274717089017e-01
2.166000000000000014e+01,8.089045272406583109e-01,-1.605884822840877302e-01
2.167000000000000171e+01,8.125978532967916834e-01,-1.521398610651472083e-01
2.167999999999999972e+01,8.155654498781608197e-01,-1.436579352330221715e-01
2.169000000000000128e+01,8.178107404214891574e-01,-1.351499449652706630e-01
2.169999999999999929e+01,8.193377395545127229e-01,-1.266230932491405614e-01
2.171000000000000085e+01,8.201510450621665171e-01,-1.180845400098039510e-01
2.171999999999999886e+01,8.202558293985813265e-01,-1.095413963212499286e-01
2.173000000000000043e+01,8.196578307553963327e-01,-1.010007187042267773e-01
2.174000000000000199e+01,8.183633436972321817e-01,-9.246950351571048277e-02
2.175000000000000000e+01,8.163792093754906887e-01,-8.395468143409656747e-02
2.176000000000000156e+01,8.137128053319191423e-01,-7.546311204430622421e-02
2.176999999999999957e+01,8.103720349037715209e-01,-6.700157852687760318e-02
2.178000000000000114e+01,8.063653162425534759e-01,-5.857678245489272850e-02
2.178999999999999915e+01,8.017015709587766992e-01,-5.019533870263581665e-02
2.180000000000000071e+01,7.963902124052530951e-01,-4.186377046956246684e-02
2.180999999999999872e+01,7.904411336118464249e-01,-3.358850442322680596e-02
2.182000000000000028e+01,7.838646948847305396e-01,-2.537586596449059595e-02
2.183000000000000185e+01,7.766717110835283933e-01,-1.723207461839615373e-02
2.183999999999999986e+01,7.688734385898428059e-01,-9.163239553779067847e-03
2.185000000000000142e+01,7.604815619809048854e-01,-1.175355234672270655e-03
2.185999999999999943e+01,7.515081804223431305e-01,6.725702793594412476e-03
2.187000000000000099e+01,7.419657937940726811e-01,1.453418198092959468e-02
2.187999999999999901e+01,7.318672885636523517e-01,2.224445670896846305e-02
2.189000000000000057e+01,7.212259234214926096e-01,2.985103208514738871e-02
2.190000000000000213e+01,7.100553146924308834e-01,3.734854759197003826e-02
2.191000000000000014e+01,6.983694215383966508e-01,4.473178058937465895e-02
2.192000000000000171e+01,6.861825309668496686e-01,5.199564966815384270e-02
2.192999999999999972e+01,6.735092426599518234e-01,5.913521785253850194e-02
2.194000000000000128e+01,6.603644536392874187e-01,6.614569565028771692e-02
2.194999999999999929e+01,6.467633427812486957e-01,7.302244394864088051e-02
2.196000000000000085e+01,6.327213551980079842e-01,7.976097675479021376e-02
2.196999999999999886e+01,6.182541864992856517e-01,8.635696377952717384e-02
2.198000000000000043e+01,6.033777669498459062e-01,9.280623286302580599e-02
2.199000000000000199e+01,5.881082455380042262e-01,9.910477224171787558e-02
2.200000000000000000e+01,5.724619739700802512e-01,1.052487326555091585e-01
2.201000000000000156e+01,5.564554906059271389e-01,1.112344292946420010e-01
2.201999999999999957e+01,5.401055043506239883e-01,1.170583435856754617e-01
2.203000000000000114e+01,5.234288785171674618e-01,1.227171248162672867e-01
2.203999999999999915e+01,5.064426146752332158e-01,1.282075915984800529e-01
2.205000000000000071e+01,4.891638365006976130e-01,1.335267331706124772e-01
2.205999999999999872e+01,4.716097736408038088e-01,1.386717105375708803e-01
2.207000000000000028e+01,4.537977456094210993e-01,1.436398574500746816e-01
2.208000000000000185e+01,4.357451457271253048e-01,1.484286812230100061e-01
2.208999999999999986e+01,4.174694251203039386e-01,1.530358633934981727e-01
2.210000000000000142e+01,3.989880767935733985e-01,1.574592602193203295e-01
2.210999999999999943e+01,3.803186197896728515e-01,1.616969030184874923e-01
2.212000000000000099e+01,3.614785834505536144e-01,1.657469983509411993e-01
2.212999999999999901e+01,3.424854917935835630e-01,1.696079280434130698e-01
2.214000000000000057e+01,3.233568480162016812e-01,1.732782490587144730e-01
2.215000000000000213e+01,3.041101191425052974e-01,1.767566932107603739e-01
2.216000000000000014e+01,2.847627208247356378e-01,1.800421667268478076e-01
2.217000000000000171e+01,2.653320023125456117e-01,1.831337496587867042e-01
2.217999999999999972e+01,2.458352316027756501e-01,1.860306951446145662e-01
2.219000000000000128e+01,2.262895807819269578e-01,1.887324285227902632e-01
2.219999999999999929e+01,2.067121115735979231e-01,1.912385463008193787e-01
2.221000000000000085e+01,1.871197611025738894e-01,1.935488149804525104e-01
2.221999999999999886e+01,1.675293278872516112e-01,1.956631697416529869e-01
2.223000000000000043e+01,1.479574580714846377e-01,1.975817129876988876e-01
2.224000000000000199e+01,1.284206319069856050e-01,1.993047127538434271e-01
2.225000000000000000e+01,1.089351504967304152e-01,2.008326009821136404e-01
2.226000000000000156e+01,8.951712280979329250e-02,2.021659716648982474e-01
2.226999999999999957e+01,7.018245297761716017e-02,2.033055788600871550e-01
