time,input_base_ax,input_base_vx,base_vx,base_ax,base_xdisp,middle_vx,middle_ax,middle_xdisp,surface_vx,surface_ax,surface_xdisp,base_strain,base_shear_stress,middle_strain,middle_shear_stress
7.26000000001,-2.98325842317,0.582455933709,0.581583682608,-2.88991520362,0.0309535944934,0.594490469641,-2.47295888483,0.0317438622917,0.594899921143,-2.65866800942,0.0320341550409,0.00011240820069,56204.1067448,7.67299930761e-05,37491.0256325
7.28000000001,-3.73103946764,0.515897204356,0.508500418392,-3.6541632108,0.0419669286857,0.528853324596,-3.28185725224,0.0429534160664,0.526258739586,-3.43205907785,0.0433224069541,0.000142483071736,71241.5501036,8.90369825465e-05,43733.0292528
7.30000000001,-4.3912832886,0.435235696268,0.423250253248,-4.26250825721,0.0514981710614,0.448057929972,-4.0397697312,0.0526572372523,0.443852138077,-4.12033007544,0.0530975356535,0.000169249214844,84624.6298445,9.62968036702e-05,47593.783424
7.32000000001,-4.94724436239,0.342392869373,0.328843620406,-4.7203316421,0.0592836115474,0.353734296188,-4.71618168918,0.060587658654,0.349573444024,-4.71393470266,0.061088944017,0.000191736446329,95868.2450345,9.96811851912e-05,49606.3454703
7.34000000001,-5.38497444132,0.239597581123,0.227833221746,-5.05051993297,0.0651014236319,0.248082973477,-5.28256613555,0.0665197925025,0.245527480322,-5.20229818507,0.0670692663742,0.000209161561442,104580.789469,0.000100887842693,50546.1794785
7.36000000001,-5.69364768302,0.129326781849,0.122194095037,-5.28195633543,0.0687773117222,0.133872011376,-5.71054810501,0.0702771212813,0.133930868552,-5.57983058849,0.0708599259796,0.000221026308386,110513.14377,0.000101614916979,51188.361816
7.38000000001,-5.86579670412,0.0142405916755,0.0133634375439,-5.44153287466,0.0701887429848,0.0142580778767,-5.98069667498,0.0717352594881,0.0171786647909,-5.83761018805,0.0723354296229,0.000227063008163,113531.480128,0.000103106295588,52097.1767641
7.40000000001,-5.89745557763,-0.102886416424,-0.0975014240446,-5.54324307941,0.0692679346655,-0.107333442917,-6.07957603966,0.0708249336537,-0.102179015722,-5.96788402563,0.0714258742894,0.000227271374588,113635.661472,0.000105736523107,53433.076662
7.42000000001,-5.78820840617,-0.219235849357,-0.209206030416,-5.58523031857,0.066003308094,-0.227453587722,-6.00600724023,0.0675335247054,-0.221371287662,-5.95961359699,0.0681191999209,0.000221826468335,110913.214215,0.000108978044692,54940.1680198
7.44000000001,-5.54114465849,-0.33201616271,-0.32016943272,-5.54817011517,0.0604396980759,-0.342814319656,-5.76803659673,0.0619059594143,-0.337490166553,-5.80594394454,0.0624613942797,0.000211147079288,105573.525181,0.000111477002863,55982.0279066
7.46000000001,-5.16272489057,-0.438531534127,-0.428197565893,-5.40140665863,0.0526769470204,-0.450506857513,-5.38462689281,0.0540433674051,-0.447570763818,-5.50402986325,0.0545557309678,0.000195746116318,97873.0462013,0.000111496876107,55752.3806518
7.48000000001,-4.66256272701,-0.536247205052,-0.530419026816,-5.11107304615,0.0428673125953,-0.548110967822,-4.88020551547,0.0441005777523,-0.548746242422,-5.05877393019,0.0445590513248,0.000176230320815,88115.1528902,0.000107279548889,53440.373624
7.50000000001,-4.05313100292,-0.622849692665,-0.623428138245,-4.65045557146,0.0312114271221,-0.633718546381,-4.28037892791,0.0322815061294,-0.638363349041,-4.48085533093,0.032677513548,0.000153103118397,76551.5634014,9.75896933243e-05,48485.0340967
7.52000000001,-3.34940171638,-0.696300449718,-0.703609193216,-4.00905274853,0.0179533882527,-0.705867520526,-3.60744870723,0.0188343007931,-0.714082475623,-3.78595632908,0.0191606556624,0.000126834627093,63417.3340096,8.19859072925e-05,40697.1855927
7.54000000001,-2.56843088212,-0.754881757804,-0.767563878142,-3.19773424627,0.00337472507728,-0.76341001797,-2.8771248722,0.00404517767082,-0.773983771416,-2.99506478964,0.00429606940992,9.78017418972e-05,48900.9020474,6.11038415047e-05,30393.7901559
7.56000000001,-1.72890048143,-0.797233872859,-0.812582463254,-2.25092925559,-0.0122122324994,-0.805434393883,-2.10121879566,-0.0117679103274,-0.81662834628,-2.13222874319,-0.0115974788373,6.64655228131e-05,33232.7892175,3.65216858815e-05,18331.2204283
7.58000000001,-0.850630453693,-0.822382693574,-0.836996471183,-1.22070039647,-0.0284718452409,-0.831160778736,-1.28631924264,-0.0282632111722,-0.841155402863,-1.22635282919,-0.0281771109872,3.33346251156e-05,16667.3251344,1.05221158602e-05,5595.8070406
7.60000000001,0.0459259364264,-0.829757486619,-0.840389254944,-0.169639188065,-0.0450529875908,-0.839956069936,-0.439764560008,-0.0450834041786,-0.847238253616,-0.30414253762,-0.0450845832825,-9.43037781254e-07,-471.523060361,-1.44653662972e-05,-6661.39394799
7.62000000001,0.94018999459,-0.81919847001,-0.823546240688,0.842150712835,-0.061597295209,-0.831300921653,0.432757414165,-0.0618645291272,-0.835067300157,0.608547672962,-0.0619546040862,-3.56658337293e-05,-17832.9304018,-3.63474194821e-05,-17449.4441506
7.64000000001,1.8119557168,-0.790954320351,-0.788239779822,1.76532304329,-0.0777473119629,-0.804912489874,1.31942158892,-0.078244150759,-0.805180319701,1.49434902277,-0.0784232367445,-7.00148484299e-05,-35007.4397926,-5.38282346612e-05,-26156.5917861
7.66000000001,2.64186575031,-0.745669924321,-0.736814958801,2.57124105105,-0.0931545844754,-0.760805667949,2.20534109625,-0.0938692963075,-0.758441702413,2.33693086441,-0.0941353657935,-0.000103094249857,-51547.1415286,-6.65958681486e-05,-32633.5320673
7.68000000001,3.41185377169,-0.6843649332,-0.671769309292,3.25228247542,-0.107487378781,-0.699500320942,3.06526735034,-0.108403890923,-0.69592319454,3.12592539361,-0.108752278519,-0.00013393127441,-66965.6570157,-7.52973260587e-05,-37181.7206032
7.70000000001,4.1055430889,-0.60840389572,-0.5953365954,3.82163569462,-0.120437979344,-0.622082135051,3.87090929454,-0.121536144567,-0.618964639035,3.84792777524,-0.12195930138,-0.000161582753599,-80791.3974064,-8.1308795975e-05,-40442.4427676
7.72000000001,4.70859273426,-0.519458934038,-0.509253110685,4.30417423572,-0.131729329524,-0.530299381424,4.58913768137,-0.132985526104,-0.529084654744,4.49399921455,-0.133473144323,-0.000185258681299,-92629.3522979,-8.63238890403e-05,-43205.0999701
7.74000000001,5.20898396046,-0.419466086039,-0.414677344792,4.72878829464,-0.14112080618,-0.426441754794,5.19288133148,-0.142508646656,-0.428039546592,5.05225540762,-0.1430484247,-0.000204394124621,-102197.054896,-9.19127911942e-05,-46198.7136251
7.76000000001,5.59724183092,-0.310576561307,-0.312350310302,5.1163517245,-0.148413053719,-0.313246822614,5.65974660898,-0.149904024276,-0.317736490861,5.51515278651,-0.150482251284,-0.000218700450345,-109350.197882,-9.90153570514e-05,-49854.7516593
7.78000000001,5.86658845882,-0.195104245656,-0.202882590742,5.47338597799,-0.153451652813,-0.19366951916,5.9788651727,-0.155015308726,-0.200316796006,5.87098474273,-0.155617892352,-0.000228066728482,-114033.327882,-0.00010769530995,-54190.4199495
7.80000000001,6.0130263411,-0.0754708391867,-0.0871352833989,5.78736536713,-0.156129833543,-0.0707284024254,6.14705583671,-0.157734088228,-0.0781162119289,6.11002920387,-0.158346930922,-0.000232573541512,-116286.739618,-0.000117018554306,-58752.3041735
7.82000000001,6.03535210429,0.0458499749241,0.0334492824201,6.02922829094,-0.156389957098,0.0527052498281,6.17168261266,-0.158001517387,0.0462884621952,6.22023370619,-0.158611492918,-0.000232383098993,-116191.531229,-0.000125350777804,-62758.3492293
7.84000000001,5.93510277588,0.166387958077,0.156639014112,6.15948658458,-0.154224065404,0.174034168685,6.06644594283,-0.155809532286,0.170199563494,6.19555506492,-0.15640463276,-0.000227808605992,-113904.296033,-0.000130705475139,-65264.7375413
7.86000000001,5.71643837217,0.283730026771,0.279407124889,6.13840553882,-0.149673105359,0.291041930113,5.85038807138,-0.151200031272,0.290886935344,6.03436859249,-0.151770036286,-0.000219161219371,-109580.609907,-0.000131331942812,-65445.5878524
7.88000000001,5.38596610876,0.395571023598,0.398139555225,5.9366215168,-0.142825295639,0.401894157575,5.54261137311,-0.144263238084,0.405741182702,5.74271236787,-0.144799170796,-0.000206785451641,-103392.733527,-0.000126072165404,-62760.5497635
7.90000000001,4.9525128555,0.499760445883,0.508998155129,5.54292999518,-0.133813304364,0.505049573962,5.15777081931,-0.135134284305,0.51236621054,5.3312513919,-0.135628357646,-0.000190891602932,-95445.8205731,-0.000114732135969,-57130.5609678
